timestamp,ped_id,x,y
0.039976,1.0,None,None
0.43973599999999996,1.0,None,None
0.8394959999999999,1.0,None,None
1.239256,1.0,None,None
1.6390159999999998,1.0,272.7181091308594,272.7025146484375
2.038776,1.0,183.83505249023438,237.28128051757812
2.438536,1.0,125.56729888916016,213.5194091796875
2.8382959999999997,1.0,93.90596008300781,189.73248291015625
3.238056,1.0,73.66791534423828,196.604736328125
3.637816,1.0,63.451168060302734,212.18731689453125
4.037576,1.0,58.082481384277344,209.2980499267578
4.437336,1.0,None,None
4.837096,1.0,47.659690856933594,206.29762268066406
5.2368559999999995,1.0,40.00220489501953,205.42291259765625
5.636616,1.0,45.87333679199219,244.56155395507812
6.036376,1.0,61.18218994140625,224.53811645507812
6.436135999999999,1.0,63.22241973876953,266.71685791015625
6.835896,1.0,None,None
7.235656,1.0,None,None
7.635415999999999,1.0,None,None
8.035176,1.0,None,None
8.434936,1.0,None,None
8.834696,1.0,None,None
9.234456,1.0,None,None
9.634216,1.0,None,None
