epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.53721,1.33278,2.86937,1.64158,0.57454,0.85,0.87817,0.63489,1.64855,1.07042,1.38313,0,0,0
2,3.03932,1.20335,2.71832,1.51738,0.56593,0.85,0.8486,0.63183,1.64671,1.06023,1.37386,1.17822e-06,1.17822e-06,1.17822e-06
3,4.52826,1.13979,3.62988,1.55503,0.56073,0.85,0.85084,0.61618,1.6665,1.06084,1.37908,2.33288e-06,2.33288e-06,2.33288e-06
