1	1.0	89.16	256.68
11	1.0	86.79	240.68
21	1.0	88.79	223.51
31	1.0	94.03	207.49
41	1.0	99.02	189.05
51	1.0	105.03	151.51
61	1.0	111.51	111.25
71	1.0	114.93	73.93
81	1.0	114.02	40.67
91	1.0	109.65	15.85
101	1.0	104.31	0.14
111	1.0	100.61	-0.08
121	1.0	99.84	12.68
131	1.0	101.41	33.35
141	1.0	104.97	63.35
151	1.0	109.65	102.51
161	1.0	114.26	141.34
171	1.0	117.20	181.46
