timestamp,ped_id,x,y
0.039487394957983195,1.0,None,None
0.43436134453781516,1.0,None,None
0.8292352941176471,1.0,None,None
1.224109243697479,1.0,None,None
1.6189831932773109,1.0,None,None
2.013857142857143,1.0,None,None
2.408731092436975,1.0,293.9625244140625,306.88671875
2.8036050420168066,1.0,241.9632110595703,274.5549011230469
3.2379663865546218,1.0,194.67999267578125,254.660400390625
3.632840336134454,1.0,145.82534790039062,219.24496459960938
4.027714285714286,1.0,None,None
4.422588235294118,1.0,43.98688888549805,184.76068115234375
