timestamp,ped_id,x,y
0.04012,1.0,213.38575744628903,166.24061584472656
0.12036,1.0,211.00938415527344,169.63528442382812
0.2006,1.0,210.56137084960935,169.83213806152344
0.32096,1.0,211.6549224853516,173.55172729492188
0.4012,1.0,206.63780212402344,183.9423065185547
0.52156,1.0,202.85577392578125,189.6452178955078
0.6018,1.0,198.30551147460935,192.6563415527344
0.72216,1.0,188.60693359375,205.74087524414065
0.8024,1.0,180.8679962158203,224.03453063964844
0.92276,1.0,175.763671875,243.3697052001953
1.003,1.0,172.9644775390625,243.87933349609372
1.12336,1.0,174.19833374023438,240.25991821289065
1.2036,1.0,171.0310516357422,247.67649841308597
1.32396,1.0,158.3585662841797,264.4542236328125
1.4042,1.0,149.7167205810547,280.4271240234375
1.52456,1.0,139.54090881347656,302.19097900390625
1.6048,1.0,134.41253662109375,308.7861022949219
1.72516,1.0,140.01824951171875,302.1737365722656
1.8054,1.0,139.42137145996094,304.49322509765625
1.92576,1.0,134.51841735839844,326.0501403808594
