timestamp,ped_id,x,y
0.04012,1.0,213.38575744628906,166.24061584472656
0.4012,1.0,206.63780212402344,183.9423065185547
0.8024,1.0,180.8679962158203,224.03453063964844
1.2036,1.0,171.0310516357422,247.67649841308594
1.6048,1.0,134.41253662109375,308.7861022949219
2.0060000000000002,1.0,None,None
2.4072,1.0,None,None
2.8084000000000002,1.0,None,None
3.2096,1.0,None,None
3.6108000000000002,1.0,None,None
4.0120000000000005,1.0,None,None
4.413200000000001,1.0,None,None
4.8144,1.0,None,None
5.2156,1.0,None,None
5.6168000000000005,1.0,None,None
