timestamp,ped_id,x,y,scenario_id
0.0438970840480274,1.0,,,maneuver_2
0.4389708404802744,1.0,,,maneuver_2
0.8340445969125215,1.0,,,maneuver_2
1.2291183533447685,1.0,,,maneuver_2
1.6241921097770156,1.0,312.2328796386719,311.3276062011719,maneuver_2
2.0192658662092624,1.0,304.3799743652344,301.7611083984375,maneuver_2
2.414339622641509,1.0,279.1285095214844,261.4754638671875,maneuver_2
2.8094133790737565,1.0,261.7328491210937,235.2849273681641,maneuver_2
3.204487135506004,1.0,225.56573486328125,204.8998260498047,maneuver_2
3.643457975986278,1.0,179.73495483398438,161.76722717285156,maneuver_2
4.038531732418525,1.0,138.6854248046875,150.8201141357422,maneuver_2
4.433605488850772,1.0,75.71935272216797,187.9331512451172,maneuver_2
4.828679245283019,1.0,36.63560104370117,209.4535369873047,maneuver_2
5.2237530017152665,1.0,22.78404235839844,228.42758178710935,maneuver_2
5.618826758147513,1.0,28.486665725708008,272.2644958496094,maneuver_2
6.01390051457976,1.0,57.36771011352539,288.984130859375,maneuver_2
6.408974271012007,1.0,108.8859405517578,284.5978698730469,maneuver_2
6.804048027444254,1.0,163.18826293945312,255.5819854736328,maneuver_2
7.243018867924529,1.0,198.4727325439453,232.81382751464844,maneuver_2
7.638092624356775,1.0,229.0782165527344,207.4174346923828,maneuver_2
8.033166380789023,1.0,,,maneuver_2
8.42824013722127,1.0,300.9258117675781,156.3651123046875,maneuver_2
8.823313893653516,1.0,,,maneuver_2
9.218387650085765,1.0,363.6976318359375,166.25990295410156,maneuver_2
9.613461406518011,1.0,,,maneuver_2
10.008535162950258,1.0,372.5106201171875,240.65054321289065,maneuver_2
10.403608919382505,1.0,354.4157409667969,283.2026062011719,maneuver_2
10.84257975986278,1.0,333.27178955078125,297.79412841796875,maneuver_2
11.237653516295026,1.0,308.3516845703125,306.4007873535156,maneuver_2
11.632727272727273,1.0,260.14862060546875,289.5898132324219,maneuver_2
12.02780102915952,1.0,225.1157073974609,276.89422607421875,maneuver_2
12.422874785591768,1.0,208.2880706787109,242.51071166992188,maneuver_2
12.817948542024014,1.0,179.40504455566406,207.36175537109372,maneuver_2
13.21302229845626,1.0,162.11184692382812,174.25144958496094,maneuver_2
13.608096054888508,1.0,118.44475555419922,179.0183868408203,maneuver_2
14.003169811320756,1.0,89.80592346191406,181.5204315185547,maneuver_2
14.44214065180103,1.0,60.85569381713867,191.437744140625,maneuver_2
14.837214408233276,1.0,20.230396270751957,208.66351318359372,maneuver_2
15.232288164665524,1.0,,,maneuver_2
15.627361921097773,1.0,42.938133239746094,272.8189392089844,maneuver_2
16.02243567753002,1.0,68.89077758789062,305.8574523925781,maneuver_2
16.417509433962266,1.0,,,maneuver_2
16.812583190394513,1.0,139.10702514648438,321.0710754394531,maneuver_2
17.20765694682676,1.0,190.05015563964844,296.09552001953125,maneuver_2
17.602730703259006,1.0,222.49539184570312,252.40750122070312,maneuver_2
18.04170154373928,1.0,251.6085662841797,221.5519561767578,maneuver_2
18.43677530017153,1.0,288.88531494140625,186.3883209228516,maneuver_2
18.831849056603776,1.0,,,maneuver_2
19.226922813036023,1.0,,,maneuver_2
19.62199656946827,1.0,381.85150146484375,202.9987945556641,maneuver_2
20.01707032590052,1.0,397.5592956542969,230.9410858154297,maneuver_2
20.41214408233276,1.0,,,maneuver_2
20.80721783876501,1.0,,,maneuver_2
21.202291595197256,1.0,,,maneuver_2
21.64126243567753,1.0,,,maneuver_2
22.03633619210978,1.0,,,maneuver_2
22.431409948542026,1.0,,,maneuver_2
22.826483704974272,1.0,,,maneuver_2
23.22155746140652,1.0,,,maneuver_2
23.61663121783877,1.0,,,maneuver_2
24.01170497427101,1.0,,,maneuver_2
24.40677873070326,1.0,,,maneuver_2
24.801852487135505,1.0,,,maneuver_2
25.240823327615782,1.0,,,maneuver_2
